Tracker: Turn 2

Adventurers	Room	Damage	Treasure
Sneaker		(1-2-1)	0		
Thief		(1-2-1)	-1		Armor, Potion
Brawler		(2-1-1)	0		

Total Active Creatures: 8

Creatures	Room
Orbiter		(4-2-2)
Blinker		(3-1-1)
Blinker		(3-1-1)
Seeker		(4-0-2)
Blinker		(2-2-0)
Seeker		(1-1-0)
Orbiter		(2-2-2)
Blinker		(2-0-2)
